-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in LST
Location: Latitude  12.9716   Longitude 77.5946 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
T2M      MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,57.94,46.01,48.3,57.64,67.27,74.81,70.56,72.67,74.01,74.0,85.82,78.11,67.37
RH2M,2016,67.23,53.03,45.95,38.68,60.84,76.5,77.9,76.68,73.59,62.11,51.07,59.41,61.99
RH2M,2017,57.29,43.26,48.36,40.81,63.53,73.11,71.64,79.1,85.83,87.17,86.33,80.82,68.27
RH2M,2018,68.26,55.33,44.53,48.25,68.14,74.98,75.03,74.02,72.29,69.07,66.51,61.43,64.89
RH2M,2019,52.33,50.58,36.84,41.32,60.5,68.59,72.06,77.33,82.07,86.61,84.15,77.57,65.92
RH2M,2020,64.69,51.32,44.26,50.73,56.27,73.8,83.71,83.49,86.25,86.2,85.9,83.33,70.9
T2M,2015,21.62,23.02,25.92,26.96,26.03,24.28,24.81,24.52,24.28,23.1,21.13,20.71,23.87
T2M,2016,20.77,24.45,27.38,30.95,27.47,23.76,23.47,23.74,23.57,23.9,23.43,21.07,24.49
T2M,2017,21.31,23.14,26.35,29.78,27.32,24.3,24.39,23.58,22.84,21.95,20.83,19.09,23.74
T2M,2018,19.8,21.77,25.98,28.81,26.44,23.93,23.86,23.72,24.33,23.41,22.88,22.68,23.97
T2M,2019,21.4,24.7,28.55,29.33,28.07,25.91,24.41,23.43,23.1,22.55,21.88,21.57,24.57
T2M,2020,22.6,24.5,27.46,27.95,28.43,24.56,22.97,23.14,22.29,22.06,21.08,19.75,23.9
