-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in LST
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
T2M      MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,77.41,70.63,66.13,68.99,68.88,66.7,63.16,73.31,76.5,77.1,86.85,83.12,73.24
RH2M,2016,76.06,73.16,66.27,64.82,66.82,71.65,72.73,70.2,72.24,68.29,69.58,76.4,70.68
RH2M,2017,72.75,66.79,64.87,62.56,60.16,62.49,67.08,78.27,82.5,82.5,86.2,79.84,72.2
RH2M,2018,76.13,71.84,66.86,64.19,66.67,63.98,63.67,66.47,74.12,77.7,78.62,80.3,70.88
RH2M,2019,73.49,69.55,62.43,62.15,65.42,62.7,68.54,74.38,82.46,84.1,82.97,81.81,72.52
RH2M,2020,78.09,69.4,62.89,65.71,69.03,65.36,78.27,80.1,81.35,81.34,84.47,82.13,74.88
T2M,2015,23.73,25.11,28.29,29.62,30.37,30.16,30.88,29.18,28.53,27.64,26.0,24.74,27.87
T2M,2016,23.96,26.05,28.88,31.42,31.09,29.32,28.91,29.39,28.87,28.49,26.54,24.39,28.11
T2M,2017,24.51,25.25,28.91,31.4,32.35,30.85,30.07,28.49,27.74,27.47,25.99,24.42,28.13
T2M,2018,23.66,25.04,28.06,30.9,31.15,30.56,30.23,29.79,28.73,27.5,26.4,24.76,28.08
T2M,2019,23.8,26.89,29.43,31.22,31.97,31.82,29.91,28.71,27.69,27.1,26.65,25.14,28.36
T2M,2020,24.75,25.97,28.78,30.54,31.19,30.74,28.47,28.37,27.64,27.43,26.29,24.6,27.9
