-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in LST
Location: Latitude  28.6139   Longitude 77.209 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
T2M      MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,52.03,40.23,49.57,40.58,19.36,33.91,68.18,72.62,51.09,40.94,38.93,27.88,44.68
RH2M,2016,29.74,24.99,30.23,18.39,25.62,36.4,70.89,81.92,62.63,39.46,28.62,27.09,39.78
RH2M,2017,42.89,35.54,27.56,17.01,22.12,40.75,68.69,68.37,62.42,41.43,41.98,41.29,42.58
RH2M,2018,34.76,29.72,23.08,24.73,20.55,37.21,66.95,81.79,80.93,63.87,51.75,47.22,47.0
RH2M,2019,49.52,53.96,41.53,29.33,23.22,26.72,56.76,75.78,71.25,54.1,52.48,54.5,49.1
RH2M,2020,62.17,51.95,54.56,38.75,31.36,41.63,61.14,77.83,60.32,33.02,34.33,39.6,48.93
T2M,2015,12.64,18.09,21.32,27.98,35.15,35.24,30.76,29.58,29.17,26.41,21.58,15.9,25.34
T2M,2016,15.62,18.58,24.93,32.08,35.54,36.47,30.93,28.7,28.81,26.2,20.5,16.76,26.27
T2M,2017,14.38,17.92,23.81,32.1,35.95,34.95,30.97,30.49,28.53,25.78,19.2,15.36,25.82
T2M,2018,13.59,19.23,25.49,31.09,35.43,36.37,31.81,28.79,26.62,23.65,19.53,13.57,25.45
T2M,2019,12.75,15.51,21.32,30.71,34.24,37.68,33.62,30.05,29.6,25.54,21.31,12.88,25.47
T2M,2020,12.7,15.86,21.23,28.32,33.64,35.01,32.92,30.11,30.31,26.24,19.59,15.35,25.12
