-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in LST
Location: Latitude  19.076   Longitude 72.8777 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
T2M      MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,53.44,43.43,50.36,56.22,61.29,80.54,86.62,87.4,84.46,75.88,69.43,52.73,66.94
RH2M,2016,45.48,50.44,47.83,53.82,61.31,77.23,91.17,90.72,90.0,78.89,61.15,53.87,66.87
RH2M,2017,48.83,37.84,46.6,53.13,59.1,82.24,89.94,89.93,88.39,77.32,67.16,66.65,67.44
RH2M,2018,54.45,44.69,42.51,51.32,59.21,81.75,91.0,89.94,85.51,69.41,58.87,46.4,64.7
RH2M,2019,34.59,40.49,43.84,52.8,58.28,73.44,90.82,90.75,91.42,84.44,78.56,76.75,68.18
RH2M,2020,67.73,49.88,49.34,51.15,57.28,82.85,90.18,92.3,90.18,82.78,75.99,69.43,71.67
T2M,2015,22.88,25.97,28.03,30.07,31.4,28.35,26.95,26.53,26.51,27.46,25.39,23.88,26.95
T2M,2016,23.49,25.65,29.19,30.52,31.46,29.21,26.3,25.89,25.62,24.98,23.03,23.35,26.56
T2M,2017,23.34,26.96,28.45,30.36,31.54,28.54,26.63,26.16,26.7,26.64,23.55,22.3,26.76
T2M,2018,23.07,26.01,29.21,30.89,31.38,28.59,26.3,25.74,25.94,26.92,25.81,23.39,26.94
T2M,2019,23.38,25.35,28.04,30.88,31.03,29.84,26.93,26.27,26.32,26.39,25.18,23.91,26.96
T2M,2020,21.67,25.17,27.62,31.56,32.2,28.13,26.93,26.35,26.52,26.94,24.84,23.24,26.76
