-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in LST
Location: Latitude  25.5941   Longitude 85.1376 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
T2M      MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,60.34,45.69,41.87,37.11,27.86,41.36,78.48,83.18,80.67,57.41,46.73,41.5,53.6
RH2M,2016,38.34,32.31,25.07,17.22,35.21,45.77,76.15,80.53,87.06,79.88,77.95,69.23,55.5
RH2M,2017,55.47,40.15,30.79,25.77,35.24,44.29,81.12,86.66,83.66,71.22,56.04,48.61,55.07
RH2M,2018,39.23,31.39,19.84,32.64,40.17,44.27,63.13,83.85,79.59,57.52,49.65,47.09,49.15
RH2M,2019,42.2,40.16,29.81,28.25,22.84,39.75,75.77,81.93,83.99,82.68,79.62,75.71,57.02
RH2M,2020,69.84,56.09,50.35,35.94,40.75,65.75,86.67,86.75,85.82,79.81,71.47,63.16,66.1
T2M,2015,15.24,20.5,25.22,30.88,36.1,36.12,30.01,29.38,28.2,26.89,24.15,18.27,26.76
T2M,2016,17.44,22.63,28.62,35.05,34.88,35.34,30.51,29.6,28.07,24.9,18.64,15.35,26.75
T2M,2017,16.61,20.44,25.9,33.39,35.82,35.82,29.54,28.96,28.85,27.19,22.06,18.55,26.95
T2M,2018,14.72,21.78,27.84,31.93,34.35,36.1,32.62,29.33,28.74,26.92,22.84,16.68,27.0
T2M,2019,16.63,20.94,25.96,32.83,36.48,37.26,31.01,29.77,28.29,24.52,20.81,14.7,26.61
T2M,2020,14.75,17.41,24.44,30.32,33.27,31.48,28.97,28.97,28.41,26.31,19.92,15.99,25.03
